Reference, Reference URL, Secondary, Secondary URL, Pair Perpendicular Baseline (meters), Pair Temporal Baseline (days)
S1A_IW_SLC__1SDV_20220428T125510_20220428T125540_042974_052174_880C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220428T125510_20220428T125540_042974_052174_880C.zip,S1A_IW_SLC__1SDV_20220603T125513_20220603T125543_043499_05319C_798B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220603T125513_20220603T125543_043499_05319C_798B.zip,29,36
S1A_IW_SLC__1SDV_20220510T125511_20220510T125541_043149_052740_CE2D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220510T125511_20220510T125541_043149_052740_CE2D.zip,S1A_IW_SLC__1SDV_20220522T125512_20220522T125542_043324_052C76_FB43,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220522T125512_20220522T125542_043324_052C76_FB43.zip,20,12
S1A_IW_SLC__1SDV_20220510T125511_20220510T125541_043149_052740_CE2D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220510T125511_20220510T125541_043149_052740_CE2D.zip,S1A_IW_SLC__1SDV_20220603T125513_20220603T125543_043499_05319C_798B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220603T125513_20220603T125543_043499_05319C_798B.zip,87,24
S1A_IW_SLC__1SDV_20220510T125511_20220510T125541_043149_052740_CE2D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220510T125511_20220510T125541_043149_052740_CE2D.zip,S1A_IW_SLC__1SDV_20220615T125513_20220615T125543_043674_0536DA_E905,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220615T125513_20220615T125543_043674_0536DA_E905.zip,92,36
S1A_IW_SLC__1SDV_20220522T125512_20220522T125542_043324_052C76_FB43,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220522T125512_20220522T125542_043324_052C76_FB43.zip,S1A_IW_SLC__1SDV_20220603T125513_20220603T125543_043499_05319C_798B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220603T125513_20220603T125543_043499_05319C_798B.zip,107,12
S1A_IW_SLC__1SDV_20220522T125512_20220522T125542_043324_052C76_FB43,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220522T125512_20220522T125542_043324_052C76_FB43.zip,S1A_IW_SLC__1SDV_20220615T125513_20220615T125543_043674_0536DA_E905,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220615T125513_20220615T125543_043674_0536DA_E905.zip,72,24
S1A_IW_SLC__1SDV_20220522T125512_20220522T125542_043324_052C76_FB43,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220522T125512_20220522T125542_043324_052C76_FB43.zip,S1A_IW_SLC__1SDV_20220627T125514_20220627T125544_043849_053C18_5A82,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220627T125514_20220627T125544_043849_053C18_5A82.zip,45,36
S1A_IW_SLC__1SDV_20220603T125513_20220603T125543_043499_05319C_798B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220603T125513_20220603T125543_043499_05319C_798B.zip,S1A_IW_SLC__1SDV_20220615T125513_20220615T125543_043674_0536DA_E905,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220615T125513_20220615T125543_043674_0536DA_E905.zip,179,12
S1A_IW_SLC__1SDV_20220603T125513_20220603T125543_043499_05319C_798B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220603T125513_20220603T125543_043499_05319C_798B.zip,S1A_IW_SLC__1SDV_20220627T125514_20220627T125544_043849_053C18_5A82,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220627T125514_20220627T125544_043849_053C18_5A82.zip,62,24
S1A_IW_SLC__1SDV_20220603T125513_20220603T125543_043499_05319C_798B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220603T125513_20220603T125543_043499_05319C_798B.zip,S1A_IW_SLC__1SDV_20220709T125515_20220709T125545_044024_054146_E938,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220709T125515_20220709T125545_044024_054146_E938.zip,15,36
S1A_IW_SLC__1SDV_20220615T125513_20220615T125543_043674_0536DA_E905,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220615T125513_20220615T125543_043674_0536DA_E905.zip,S1A_IW_SLC__1SDV_20220627T125514_20220627T125544_043849_053C18_5A82,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220627T125514_20220627T125544_043849_053C18_5A82.zip,117,12
S1A_IW_SLC__1SDV_20220615T125513_20220615T125543_043674_0536DA_E905,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220615T125513_20220615T125543_043674_0536DA_E905.zip,S1A_IW_SLC__1SDV_20220709T125515_20220709T125545_044024_054146_E938,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220709T125515_20220709T125545_044024_054146_E938.zip,164,24
S1A_IW_SLC__1SDV_20220615T125513_20220615T125543_043674_0536DA_E905,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220615T125513_20220615T125543_043674_0536DA_E905.zip,S1A_IW_SLC__1SDV_20220721T125516_20220721T125546_044199_054682_80CC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220721T125516_20220721T125546_044199_054682_80CC.zip,153,36
S1A_IW_SLC__1SDV_20220627T125514_20220627T125544_043849_053C18_5A82,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220627T125514_20220627T125544_043849_053C18_5A82.zip,S1A_IW_SLC__1SDV_20220709T125515_20220709T125545_044024_054146_E938,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220709T125515_20220709T125545_044024_054146_E938.zip,47,12
S1A_IW_SLC__1SDV_20220627T125514_20220627T125544_043849_053C18_5A82,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220627T125514_20220627T125544_043849_053C18_5A82.zip,S1A_IW_SLC__1SDV_20220721T125516_20220721T125546_044199_054682_80CC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220721T125516_20220721T125546_044199_054682_80CC.zip,36,24
S1A_IW_SLC__1SDV_20220627T125514_20220627T125544_043849_053C18_5A82,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220627T125514_20220627T125544_043849_053C18_5A82.zip,S1A_IW_SLC__1SDV_20220802T125517_20220802T125546_044374_054BAC_2F4E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220802T125517_20220802T125546_044374_054BAC_2F4E.zip,25,36
S1A_IW_SLC__1SDV_20220709T125515_20220709T125545_044024_054146_E938,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220709T125515_20220709T125545_044024_054146_E938.zip,S1A_IW_SLC__1SDV_20220721T125516_20220721T125546_044199_054682_80CC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220721T125516_20220721T125546_044199_054682_80CC.zip,11,12
S1A_IW_SLC__1SDV_20220709T125515_20220709T125545_044024_054146_E938,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220709T125515_20220709T125545_044024_054146_E938.zip,S1A_IW_SLC__1SDV_20220802T125517_20220802T125546_044374_054BAC_2F4E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220802T125517_20220802T125546_044374_054BAC_2F4E.zip,22,24
S1A_IW_SLC__1SDV_20220709T125515_20220709T125545_044024_054146_E938,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220709T125515_20220709T125545_044024_054146_E938.zip,S1A_IW_SLC__1SDV_20220814T125517_20220814T125547_044549_055128_7CE5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220814T125517_20220814T125547_044549_055128_7CE5.zip,71,36
S1A_IW_SLC__1SDV_20220721T125516_20220721T125546_044199_054682_80CC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220721T125516_20220721T125546_044199_054682_80CC.zip,S1A_IW_SLC__1SDV_20220802T125517_20220802T125546_044374_054BAC_2F4E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220802T125517_20220802T125546_044374_054BAC_2F4E.zip,11,12
S1A_IW_SLC__1SDV_20220721T125516_20220721T125546_044199_054682_80CC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220721T125516_20220721T125546_044199_054682_80CC.zip,S1A_IW_SLC__1SDV_20220814T125517_20220814T125547_044549_055128_7CE5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220814T125517_20220814T125547_044549_055128_7CE5.zip,60,24
S1A_IW_SLC__1SDV_20220721T125516_20220721T125546_044199_054682_80CC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220721T125516_20220721T125546_044199_054682_80CC.zip,S1A_IW_SLC__1SDV_20220826T125518_20220826T125548_044724_05570E_B5B7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220826T125518_20220826T125548_044724_05570E_B5B7.zip,105,36
S1A_IW_SLC__1SDV_20220802T125517_20220802T125546_044374_054BAC_2F4E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220802T125517_20220802T125546_044374_054BAC_2F4E.zip,S1A_IW_SLC__1SDV_20220814T125517_20220814T125547_044549_055128_7CE5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220814T125517_20220814T125547_044549_055128_7CE5.zip,49,12
S1A_IW_SLC__1SDV_20220802T125517_20220802T125546_044374_054BAC_2F4E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220802T125517_20220802T125546_044374_054BAC_2F4E.zip,S1A_IW_SLC__1SDV_20220826T125518_20220826T125548_044724_05570E_B5B7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220826T125518_20220826T125548_044724_05570E_B5B7.zip,94,24
S1A_IW_SLC__1SDV_20220802T125517_20220802T125546_044374_054BAC_2F4E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220802T125517_20220802T125546_044374_054BAC_2F4E.zip,S1A_IW_SLC__1SDV_20220907T125519_20220907T125548_044899_055CF1_3B2E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220907T125519_20220907T125548_044899_055CF1_3B2E.zip,111,36
S1A_IW_SLC__1SDV_20220814T125517_20220814T125547_044549_055128_7CE5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220814T125517_20220814T125547_044549_055128_7CE5.zip,S1A_IW_SLC__1SDV_20220826T125518_20220826T125548_044724_05570E_B5B7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220826T125518_20220826T125548_044724_05570E_B5B7.zip,45,12
S1A_IW_SLC__1SDV_20220814T125517_20220814T125547_044549_055128_7CE5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220814T125517_20220814T125547_044549_055128_7CE5.zip,S1A_IW_SLC__1SDV_20220907T125519_20220907T125548_044899_055CF1_3B2E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220907T125519_20220907T125548_044899_055CF1_3B2E.zip,160,24
S1A_IW_SLC__1SDV_20220814T125517_20220814T125547_044549_055128_7CE5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220814T125517_20220814T125547_044549_055128_7CE5.zip,S1A_IW_SLC__1SDV_20220919T125518_20220919T125548_045074_0562DA_62CE,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220919T125518_20220919T125548_045074_0562DA_62CE.zip,91,36
S1A_IW_SLC__1SDV_20220826T125518_20220826T125548_044724_05570E_B5B7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220826T125518_20220826T125548_044724_05570E_B5B7.zip,S1A_IW_SLC__1SDV_20220907T125519_20220907T125548_044899_055CF1_3B2E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220907T125519_20220907T125548_044899_055CF1_3B2E.zip,205,12
S1A_IW_SLC__1SDV_20220826T125518_20220826T125548_044724_05570E_B5B7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220826T125518_20220826T125548_044724_05570E_B5B7.zip,S1A_IW_SLC__1SDV_20220919T125518_20220919T125548_045074_0562DA_62CE,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220919T125518_20220919T125548_045074_0562DA_62CE.zip,46,24
S1A_IW_SLC__1SDV_20220826T125518_20220826T125548_044724_05570E_B5B7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220826T125518_20220826T125548_044724_05570E_B5B7.zip,S1A_IW_SLC__1SDV_20221001T125519_20221001T125549_045249_0568B6_FF71,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221001T125519_20221001T125549_045249_0568B6_FF71.zip,137,36
S1A_IW_SLC__1SDV_20220907T125519_20220907T125548_044899_055CF1_3B2E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220907T125519_20220907T125548_044899_055CF1_3B2E.zip,S1A_IW_SLC__1SDV_20221001T125519_20221001T125549_045249_0568B6_FF71,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221001T125519_20221001T125549_045249_0568B6_FF71.zip,68,24
S1A_IW_SLC__1SDV_20220919T125518_20220919T125548_045074_0562DA_62CE,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220919T125518_20220919T125548_045074_0562DA_62CE.zip,S1A_IW_SLC__1SDV_20221001T125519_20221001T125549_045249_0568B6_FF71,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221001T125519_20221001T125549_045249_0568B6_FF71.zip,183,12
S1A_IW_SLC__1SDV_20220919T125518_20220919T125548_045074_0562DA_62CE,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220919T125518_20220919T125548_045074_0562DA_62CE.zip,S1A_IW_SLC__1SDV_20221013T125519_20221013T125549_045424_056E94_E197,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221013T125519_20221013T125549_045424_056E94_E197.zip,3,24
S1A_IW_SLC__1SDV_20220919T125518_20220919T125548_045074_0562DA_62CE,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220919T125518_20220919T125548_045074_0562DA_62CE.zip,S1A_IW_SLC__1SDV_20221025T125519_20221025T125549_045599_0573C6_0DE5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221025T125519_20221025T125549_045599_0573C6_0DE5.zip,55,36
S1A_IW_SLC__1SDV_20221001T125519_20221001T125549_045249_0568B6_FF71,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221001T125519_20221001T125549_045249_0568B6_FF71.zip,S1A_IW_SLC__1SDV_20221013T125519_20221013T125549_045424_056E94_E197,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221013T125519_20221013T125549_045424_056E94_E197.zip,186,12
S1A_IW_SLC__1SDV_20221001T125519_20221001T125549_045249_0568B6_FF71,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221001T125519_20221001T125549_045249_0568B6_FF71.zip,S1A_IW_SLC__1SDV_20221025T125519_20221025T125549_045599_0573C6_0DE5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221025T125519_20221025T125549_045599_0573C6_0DE5.zip,128,24
S1A_IW_SLC__1SDV_20221001T125519_20221001T125549_045249_0568B6_FF71,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221001T125519_20221001T125549_045249_0568B6_FF71.zip,S1A_IW_SLC__1SDV_20221106T125519_20221106T125549_045774_0579B1_9598,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221106T125519_20221106T125549_045774_0579B1_9598.zip,192,36
S1A_IW_SLC__1SDV_20221013T125519_20221013T125549_045424_056E94_E197,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221013T125519_20221013T125549_045424_056E94_E197.zip,S1A_IW_SLC__1SDV_20221025T125519_20221025T125549_045599_0573C6_0DE5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221025T125519_20221025T125549_045599_0573C6_0DE5.zip,58,12
S1A_IW_SLC__1SDV_20221013T125519_20221013T125549_045424_056E94_E197,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221013T125519_20221013T125549_045424_056E94_E197.zip,S1A_IW_SLC__1SDV_20221106T125519_20221106T125549_045774_0579B1_9598,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221106T125519_20221106T125549_045774_0579B1_9598.zip,6,24
S1A_IW_SLC__1SDV_20221013T125519_20221013T125549_045424_056E94_E197,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221013T125519_20221013T125549_045424_056E94_E197.zip,S1A_IW_SLC__1SDV_20221118T125519_20221118T125548_045949_057F96_F1C1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221118T125519_20221118T125548_045949_057F96_F1C1.zip,112,36
S1A_IW_SLC__1SDV_20221025T125519_20221025T125549_045599_0573C6_0DE5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221025T125519_20221025T125549_045599_0573C6_0DE5.zip,S1A_IW_SLC__1SDV_20221106T125519_20221106T125549_045774_0579B1_9598,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221106T125519_20221106T125549_045774_0579B1_9598.zip,64,12
S1A_IW_SLC__1SDV_20221025T125519_20221025T125549_045599_0573C6_0DE5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221025T125519_20221025T125549_045599_0573C6_0DE5.zip,S1A_IW_SLC__1SDV_20221118T125519_20221118T125548_045949_057F96_F1C1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221118T125519_20221118T125548_045949_057F96_F1C1.zip,54,24
S1A_IW_SLC__1SDV_20221025T125519_20221025T125549_045599_0573C6_0DE5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221025T125519_20221025T125549_045599_0573C6_0DE5.zip,S1A_IW_SLC__1SDV_20221130T125518_20221130T125548_046124_058589_55A5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221130T125518_20221130T125548_046124_058589_55A5.zip,34,36
S1A_IW_SLC__1SDV_20221106T125519_20221106T125549_045774_0579B1_9598,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221106T125519_20221106T125549_045774_0579B1_9598.zip,S1A_IW_SLC__1SDV_20221118T125519_20221118T125548_045949_057F96_F1C1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221118T125519_20221118T125548_045949_057F96_F1C1.zip,118,12
S1A_IW_SLC__1SDV_20221106T125519_20221106T125549_045774_0579B1_9598,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221106T125519_20221106T125549_045774_0579B1_9598.zip,S1A_IW_SLC__1SDV_20221130T125518_20221130T125548_046124_058589_55A5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221130T125518_20221130T125548_046124_058589_55A5.zip,98,24
S1A_IW_SLC__1SDV_20221106T125519_20221106T125549_045774_0579B1_9598,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221106T125519_20221106T125549_045774_0579B1_9598.zip,S1A_IW_SLC__1SDV_20221212T125518_20221212T125547_046299_058B7F_6083,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221212T125518_20221212T125547_046299_058B7F_6083.zip,126,36
S1A_IW_SLC__1SDV_20221118T125519_20221118T125548_045949_057F96_F1C1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221118T125519_20221118T125548_045949_057F96_F1C1.zip,S1A_IW_SLC__1SDV_20221130T125518_20221130T125548_046124_058589_55A5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221130T125518_20221130T125548_046124_058589_55A5.zip,20,12
S1A_IW_SLC__1SDV_20221118T125519_20221118T125548_045949_057F96_F1C1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221118T125519_20221118T125548_045949_057F96_F1C1.zip,S1A_IW_SLC__1SDV_20221212T125518_20221212T125547_046299_058B7F_6083,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221212T125518_20221212T125547_046299_058B7F_6083.zip,8,24
S1A_IW_SLC__1SDV_20221118T125519_20221118T125548_045949_057F96_F1C1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221118T125519_20221118T125548_045949_057F96_F1C1.zip,S1A_IW_SLC__1SDV_20221224T125517_20221224T125547_046474_05917B_964B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221224T125517_20221224T125547_046474_05917B_964B.zip,74,36
S1A_IW_SLC__1SDV_20221130T125518_20221130T125548_046124_058589_55A5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221130T125518_20221130T125548_046124_058589_55A5.zip,S1A_IW_SLC__1SDV_20221212T125518_20221212T125547_046299_058B7F_6083,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221212T125518_20221212T125547_046299_058B7F_6083.zip,28,12
S1A_IW_SLC__1SDV_20221130T125518_20221130T125548_046124_058589_55A5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221130T125518_20221130T125548_046124_058589_55A5.zip,S1A_IW_SLC__1SDV_20221224T125517_20221224T125547_046474_05917B_964B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221224T125517_20221224T125547_046474_05917B_964B.zip,54,24
S1A_IW_SLC__1SDV_20221130T125518_20221130T125548_046124_058589_55A5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221130T125518_20221130T125548_046124_058589_55A5.zip,S1A_IW_SLC__1SDV_20230105T125516_20230105T125546_046649_059763_F306,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230105T125516_20230105T125546_046649_059763_F306.zip,112,36
S1A_IW_SLC__1SDV_20221212T125518_20221212T125547_046299_058B7F_6083,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221212T125518_20221212T125547_046299_058B7F_6083.zip,S1A_IW_SLC__1SDV_20221224T125517_20221224T125547_046474_05917B_964B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221224T125517_20221224T125547_046474_05917B_964B.zip,82,12
S1A_IW_SLC__1SDV_20221212T125518_20221212T125547_046299_058B7F_6083,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221212T125518_20221212T125547_046299_058B7F_6083.zip,S1A_IW_SLC__1SDV_20230105T125516_20230105T125546_046649_059763_F306,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230105T125516_20230105T125546_046649_059763_F306.zip,140,24
S1A_IW_SLC__1SDV_20221212T125518_20221212T125547_046299_058B7F_6083,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221212T125518_20221212T125547_046299_058B7F_6083.zip,S1A_IW_SLC__1SDV_20230117T125515_20230117T125545_046824_059D4D_848E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230117T125515_20230117T125545_046824_059D4D_848E.zip,235,36
S1A_IW_SLC__1SDV_20221224T125517_20221224T125547_046474_05917B_964B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221224T125517_20221224T125547_046474_05917B_964B.zip,S1A_IW_SLC__1SDV_20230105T125516_20230105T125546_046649_059763_F306,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230105T125516_20230105T125546_046649_059763_F306.zip,58,12
S1A_IW_SLC__1SDV_20221224T125517_20221224T125547_046474_05917B_964B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221224T125517_20221224T125547_046474_05917B_964B.zip,S1A_IW_SLC__1SDV_20230117T125515_20230117T125545_046824_059D4D_848E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230117T125515_20230117T125545_046824_059D4D_848E.zip,153,24
S1A_IW_SLC__1SDV_20221224T125517_20221224T125547_046474_05917B_964B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221224T125517_20221224T125547_046474_05917B_964B.zip,S1A_IW_SLC__1SDV_20230129T125516_20230129T125545_046999_05A335_B64A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230129T125516_20230129T125545_046999_05A335_B64A.zip,108,36
S1A_IW_SLC__1SDV_20230105T125516_20230105T125546_046649_059763_F306,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230105T125516_20230105T125546_046649_059763_F306.zip,S1A_IW_SLC__1SDV_20230117T125515_20230117T125545_046824_059D4D_848E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230117T125515_20230117T125545_046824_059D4D_848E.zip,95,12
S1A_IW_SLC__1SDV_20230105T125516_20230105T125546_046649_059763_F306,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230105T125516_20230105T125546_046649_059763_F306.zip,S1A_IW_SLC__1SDV_20230129T125516_20230129T125545_046999_05A335_B64A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230129T125516_20230129T125545_046999_05A335_B64A.zip,166,24
S1A_IW_SLC__1SDV_20230105T125516_20230105T125546_046649_059763_F306,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230105T125516_20230105T125546_046649_059763_F306.zip,S1A_IW_SLC__1SDV_20230210T125515_20230210T125545_047174_05A903_DEB0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230210T125515_20230210T125545_047174_05A903_DEB0.zip,61,36
S1A_IW_SLC__1SDV_20230117T125515_20230117T125545_046824_059D4D_848E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230117T125515_20230117T125545_046824_059D4D_848E.zip,S1A_IW_SLC__1SDV_20230210T125515_20230210T125545_047174_05A903_DEB0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230210T125515_20230210T125545_047174_05A903_DEB0.zip,156,24
