Reference, Reference URL, Secondary, Secondary URL, Pair Perpendicular Baseline (meters), Pair Temporal Baseline (days)
S1A_IW_SLC__1SDV_20211123T125512_20211123T125542_040699_04D45B_75A3,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211123T125512_20211123T125542_040699_04D45B_75A3.zip,S1A_IW_SLC__1SDV_20211205T125512_20211205T125542_040874_04DA78_6B05,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211205T125512_20211205T125542_040874_04DA78_6B05.zip,52,12
S1A_IW_SLC__1SDV_20211123T125512_20211123T125542_040699_04D45B_75A3,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211123T125512_20211123T125542_040699_04D45B_75A3.zip,S1A_IW_SLC__1SDV_20211217T125511_20211217T125541_041049_04E069_9F5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211217T125511_20211217T125541_041049_04E069_9F5A.zip,74,24
S1A_IW_SLC__1SDV_20211123T125512_20211123T125542_040699_04D45B_75A3,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211123T125512_20211123T125542_040699_04D45B_75A3.zip,S1A_IW_SLC__1SDV_20211229T125511_20211229T125541_041224_04E63A_F2C2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211229T125511_20211229T125541_041224_04E63A_F2C2.zip,118,36
S1A_IW_SLC__1SDV_20211205T125512_20211205T125542_040874_04DA78_6B05,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211205T125512_20211205T125542_040874_04DA78_6B05.zip,S1A_IW_SLC__1SDV_20211217T125511_20211217T125541_041049_04E069_9F5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211217T125511_20211217T125541_041049_04E069_9F5A.zip,22,12
S1A_IW_SLC__1SDV_20211205T125512_20211205T125542_040874_04DA78_6B05,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211205T125512_20211205T125542_040874_04DA78_6B05.zip,S1A_IW_SLC__1SDV_20211229T125511_20211229T125541_041224_04E63A_F2C2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211229T125511_20211229T125541_041224_04E63A_F2C2.zip,66,24
S1A_IW_SLC__1SDV_20211205T125512_20211205T125542_040874_04DA78_6B05,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211205T125512_20211205T125542_040874_04DA78_6B05.zip,S1A_IW_SLC__1SDV_20220110T125510_20220110T125540_041399_04EC23_C5F0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220110T125510_20220110T125540_041399_04EC23_C5F0.zip,50,36
S1A_IW_SLC__1SDV_20211217T125511_20211217T125541_041049_04E069_9F5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211217T125511_20211217T125541_041049_04E069_9F5A.zip,S1A_IW_SLC__1SDV_20211229T125511_20211229T125541_041224_04E63A_F2C2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211229T125511_20211229T125541_041224_04E63A_F2C2.zip,44,12
S1A_IW_SLC__1SDV_20211217T125511_20211217T125541_041049_04E069_9F5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211217T125511_20211217T125541_041049_04E069_9F5A.zip,S1A_IW_SLC__1SDV_20220110T125510_20220110T125540_041399_04EC23_C5F0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220110T125510_20220110T125540_041399_04EC23_C5F0.zip,72,24
S1A_IW_SLC__1SDV_20211217T125511_20211217T125541_041049_04E069_9F5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211217T125511_20211217T125541_041049_04E069_9F5A.zip,S1A_IW_SLC__1SDV_20220122T125510_20220122T125539_041574_04F1E1_7B5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220122T125510_20220122T125539_041574_04F1E1_7B5A.zip,7,36
S1A_IW_SLC__1SDV_20211229T125511_20211229T125541_041224_04E63A_F2C2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211229T125511_20211229T125541_041224_04E63A_F2C2.zip,S1A_IW_SLC__1SDV_20220110T125510_20220110T125540_041399_04EC23_C5F0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220110T125510_20220110T125540_041399_04EC23_C5F0.zip,116,12
S1A_IW_SLC__1SDV_20211229T125511_20211229T125541_041224_04E63A_F2C2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211229T125511_20211229T125541_041224_04E63A_F2C2.zip,S1A_IW_SLC__1SDV_20220122T125510_20220122T125539_041574_04F1E1_7B5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220122T125510_20220122T125539_041574_04F1E1_7B5A.zip,51,24
S1A_IW_SLC__1SDV_20211229T125511_20211229T125541_041224_04E63A_F2C2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211229T125511_20211229T125541_041224_04E63A_F2C2.zip,S1A_IW_SLC__1SDV_20220203T125509_20220203T125539_041749_04F7D1_04F6,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220203T125509_20220203T125539_041749_04F7D1_04F6.zip,17,36
S1A_IW_SLC__1SDV_20220110T125510_20220110T125540_041399_04EC23_C5F0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220110T125510_20220110T125540_041399_04EC23_C5F0.zip,S1A_IW_SLC__1SDV_20220122T125510_20220122T125539_041574_04F1E1_7B5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220122T125510_20220122T125539_041574_04F1E1_7B5A.zip,65,12
S1A_IW_SLC__1SDV_20220110T125510_20220110T125540_041399_04EC23_C5F0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220110T125510_20220110T125540_041399_04EC23_C5F0.zip,S1A_IW_SLC__1SDV_20220203T125509_20220203T125539_041749_04F7D1_04F6,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220203T125509_20220203T125539_041749_04F7D1_04F6.zip,133,24
S1A_IW_SLC__1SDV_20220110T125510_20220110T125540_041399_04EC23_C5F0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220110T125510_20220110T125540_041399_04EC23_C5F0.zip,S1A_IW_SLC__1SDV_20220215T125509_20220215T125539_041924_04FDF9_3B5F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220215T125509_20220215T125539_041924_04FDF9_3B5F.zip,52,36
S1A_IW_SLC__1SDV_20220122T125510_20220122T125539_041574_04F1E1_7B5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220122T125510_20220122T125539_041574_04F1E1_7B5A.zip,S1A_IW_SLC__1SDV_20220203T125509_20220203T125539_041749_04F7D1_04F6,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220203T125509_20220203T125539_041749_04F7D1_04F6.zip,68,12
S1A_IW_SLC__1SDV_20220122T125510_20220122T125539_041574_04F1E1_7B5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220122T125510_20220122T125539_041574_04F1E1_7B5A.zip,S1A_IW_SLC__1SDV_20220215T125509_20220215T125539_041924_04FDF9_3B5F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220215T125509_20220215T125539_041924_04FDF9_3B5F.zip,13,24
S1A_IW_SLC__1SDV_20220122T125510_20220122T125539_041574_04F1E1_7B5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220122T125510_20220122T125539_041574_04F1E1_7B5A.zip,S1A_IW_SLC__1SDV_20220227T125509_20220227T125539_042099_0503FF_D031,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220227T125509_20220227T125539_042099_0503FF_D031.zip,31,36
S1A_IW_SLC__1SDV_20220203T125509_20220203T125539_041749_04F7D1_04F6,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220203T125509_20220203T125539_041749_04F7D1_04F6.zip,S1A_IW_SLC__1SDV_20220215T125509_20220215T125539_041924_04FDF9_3B5F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220215T125509_20220215T125539_041924_04FDF9_3B5F.zip,81,12
