job_id,job_name,file,bytes,sha256
1a0393bc-898e-4f60-9923-9ff913103c85,delhi_ncr_sbas_d136_v1_val_20211026_20211107,S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79/S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79_README.md.txt,21920,
1a0393bc-898e-4f60-9923-9ff913103c85,delhi_ncr_sbas_d136_v1_val_20211026_20211107,S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79/S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79_amp.kmz,8072142,
1a0393bc-898e-4f60-9923-9ff913103c85,delhi_ncr_sbas_d136_v1_val_20211026_20211107,S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79/S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79_amp.tif,18226661,
1a0393bc-898e-4f60-9923-9ff913103c85,delhi_ncr_sbas_d136_v1_val_20211026_20211107,S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79/S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79_conncomp.tif,277683,29fcca610e2b6a8ff07bf82613ea2dfbd4926c203e629053a2bf26d1959fec2b
1a0393bc-898e-4f60-9923-9ff913103c85,delhi_ncr_sbas_d136_v1_val_20211026_20211107,S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79/S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79_corr.tif,17184318,abdba16af64aca36666d8d266bf58702bebd6b57cc8ba0c2dd43c8b18446f048
1a0393bc-898e-4f60-9923-9ff913103c85,delhi_ncr_sbas_d136_v1_val_20211026_20211107,S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79/S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79_dem.tif,3377356,7ccc116c0ed144ff3ffd6f1ba15d9f992b588cceae472f3af419f59155b3a37e
1a0393bc-898e-4f60-9923-9ff913103c85,delhi_ncr_sbas_d136_v1_val_20211026_20211107,S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79/S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79_lv_phi.tif,11597128,7e344a2856342221591d013a27bcfd999612cb1206288cb1c23b4cf6451eee91
1a0393bc-898e-4f60-9923-9ff913103c85,delhi_ncr_sbas_d136_v1_val_20211026_20211107,S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79/S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79_lv_theta.tif,12592416,39f4b1b08c7df3463d1d8485d6f53af1a0e8d20c5a79f7dca6652bb70e5b40f8
1a0393bc-898e-4f60-9923-9ff913103c85,delhi_ncr_sbas_d136_v1_val_20211026_20211107,S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79/S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79_unw_phase.png,1368749,
1a0393bc-898e-4f60-9923-9ff913103c85,delhi_ncr_sbas_d136_v1_val_20211026_20211107,S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79/S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79_unw_phase.tif,17255154,59832222521f67ef69d3535462702d757c14d07448b21add86b24e1a4f83872e
1a0393bc-898e-4f60-9923-9ff913103c85,delhi_ncr_sbas_d136_v1_val_20211026_20211107,S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79/S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79_water_mask.tif,91365,be9b1133b117d356e0866196894fae597107fd9c29edc26f737e69d2aa778a27
1a0393bc-898e-4f60-9923-9ff913103c85,delhi_ncr_sbas_d136_v1_val_20211026_20211107,S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79/S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79_wrapped_phase.kmz,12405174,
1a0393bc-898e-4f60-9923-9ff913103c85,delhi_ncr_sbas_d136_v1_val_20211026_20211107,S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79/S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20211026_20211107_VV_INT40_9F79_wrapped_phase.tif,18775329,
4b0cf9ad-55b7-4e0b-bfe3-d005ad9a76b0,delhi_ncr_sbas_d136_v1_val_20250911_20250923,S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20250911_20250923_VV_INT40_7BE7/S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20250911_20250923_VV_INT40_7BE7.txt,1028,
4b0cf9ad-55b7-4e0b-bfe3-d005ad9a76b0,delhi_ncr_sbas_d136_v1_val_20250911_20250923,S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20250911_20250923_VV_INT40_7BE7/S1_136_290874s1n04-000000s2n00-000000s3n00_IW_20250911_20250923_VV_INT40_7BE7_README.md.txt,21920,
