index,date12,residual_rms_rad
213,20240217_20240324,1.3246
214,20240229_20240312,4.0361
215,20240229_20240324,1.5979
216,20240229_20240405,4.1311
217,20240312_20240324,3.1614
218,20240312_20240405,1.8144
219,20240312_20240417,3.4514
220,20240324_20240405,3.3072
221,20240324_20240417,6.3469
222,20240324_20240429,3.32
223,20240405_20240417,3.5722
224,20240405_20240429,1.6607
225,20240405_20240511,4.4065
226,20240417_20240429,3.1972
227,20240417_20240511,5.6115
228,20240417_20240523,19.0399
229,20240429_20240511,7.8253
230,20240429_20240523,22.1265
231,20240429_20240604,7.8902
232,20240511_20240523,15.5368
233,20240511_20240604,3.3796
234,20240511_20240616,4.4239
235,20240523_20240604,14.5444
236,20240523_20240616,12.5625
237,20240604_20240616,2.1423
238,20240604_20240710,2.837
239,20240616_20240710,4.8344
240,20240616_20240722,14.4836
241,20240710_20240722,3.2854
242,20240710_20240803,3.0064
243,20240710_20240815,11.8821
244,20240722_20240803,1.7841
245,20240722_20240815,14.971
246,20240803_20240815,4.135
247,20240803_20240827,6.1438
248,20240803_20240908,5.1882
249,20240815_20240827,3.6585
250,20240815_20240908,3.2802
251,20240815_20240920,2.5414
252,20240827_20240908,2.1453
253,20240827_20240920,5.2363
254,20240827_20241002,12.6793
255,20240908_20240920,6.8342
256,20240908_20241002,13.5314
257,20240908_20241014,2.7017
258,20240920_20241002,7.1948
259,20240920_20241014,2.737
260,20240920_20241026,8.3074
261,20241002_20241014,8.5921
262,20241002_20241026,11.6344
263,20241002_20241107,9.8868
264,20241014_20241026,3.3717
265,20241014_20241107,7.6864
266,20241014_20241119,3.0667
267,20241026_20241107,4.5881
268,20241026_20241119,0.986
269,20241107_20241119,1.6216
270,20241107_20241213,7.5483
271,20241119_20241213,8.8384
272,20241119_20241225,7.2783
273,20241213_20241225,1.8904
274,20241213_20250106,8.6305
275,20241213_20250118,4.8194
276,20241225_20250106,6.9926
277,20241225_20250118,6.3888
278,20241225_20250130,5.2981
279,20250106_20250118,6.9208
280,20250106_20250130,11.9804
281,20250106_20250211,11.2995
282,20250118_20250130,5.0577
283,20250118_20250211,2.1918
284,20250118_20250223,6.6229
285,20250130_20250211,0.9648
286,20250130_20250223,5.4164
287,20250130_20250307,8.5295
288,20250211_20250223,4.6502
289,20250211_20250307,1.7169
290,20250211_20250319,4.0154
291,20250223_20250307,3.1474
292,20250223_20250319,1.3837
293,20250223_20250331,7.1645
294,20250307_20250319,2.6056
295,20250307_20250331,4.0389
296,20250307_20250412,7.0568
297,20250319_20250331,6.4361
298,20250319_20250412,9.4713
299,20250319_20250424,4.1148
300,20250331_20250412,3.1719
301,20250331_20250424,2.7477
302,20250331_20250506,6.583
303,20250412_20250424,2.1336
304,20250412_20250506,3.4945
305,20250424_20250506,4.2578
306,20250424_20250530,1.7052
307,20250506_20250530,5.0415
308,20250506_20250611,11.5224
309,20250530_20250611,4.02
310,20250530_20250623,2.824
311,20250530_20250705,2.5015
312,20250611_20250623,7.5877
313,20250611_20250705,11.3902
314,20250611_20250717,8.8312
315,20250623_20250705,3.2665
316,20250623_20250717,2.9102
317,20250623_20250729,4.0685
318,20250705_20250717,3.6141
319,20250705_20250729,7.3855
320,20250705_20250810,5.3116
321,20250717_20250729,3.6587
322,20250717_20250810,5.2712
323,20250717_20250822,3.0875
324,20250729_20250810,2.1626
325,20250729_20250822,5.6754
326,20250729_20250903,13.1981
327,20250810_20250822,3.0793
328,20250810_20250903,2.4817
329,20250810_20250915,4.5773
330,20250822_20250903,7.8245
331,20250822_20250915,2.3476
332,20250822_20250927,2.9129
333,20250903_20250915,3.4313
334,20250903_20250927,4.1064
335,20250915_20250927,1.6403
