block_row,block_col,window_row,window_col,full_grid_row,full_grid_col,lon,lat,n_pixels,median_temporal_coherence,median_velocity_m_per_yr,median_velocity_std,stable_candidate
1080,720,1110,750,1858,1426,77.09162,28.46936,3600,0.9279,0.00128,0.0012,True
1080,780,1110,810,1858,1486,77.11612,28.46898,3600,0.8023,0.00206,0.00125,False
1080,840,1110,870,1858,1546,77.14062,28.4686,3600,0.8623,0.00058,0.00136,True
1080,900,1110,930,1858,1606,77.16511,28.46821,3600,0.8556,0.00014,0.00143,True
1080,960,1110,990,1858,1666,77.18961,28.46782,3600,0.8687,0.00148,0.00142,True
1080,1020,1110,1050,1858,1726,77.21411,28.46742,1752,0.7555,0.00128,0.00142,False
1140,0,1170,30,1918,706,76.79722,28.45191,3002,0.5251,-0.00446,0.00162,False
1140,60,1170,90,1918,766,76.82172,28.45159,3600,0.74,0.00093,0.00155,False
1140,120,1170,150,1918,826,76.84622,28.45126,3600,0.6461,-0.00215,0.00151,False
1140,180,1170,210,1918,886,76.87072,28.45092,3600,0.5948,-0.00472,0.00151,False
1140,240,1170,270,1918,946,76.89521,28.45058,3600,0.5723,-0.00248,0.00147,False
1140,300,1170,330,1918,1006,76.91971,28.45024,3600,0.686,-0.00108,0.00134,False
1140,360,1170,390,1918,1066,76.94421,28.44989,3600,0.768,-0.00034,0.00128,False
1140,420,1170,450,1918,1126,76.96871,28.44954,3600,0.7411,-0.00213,0.00127,False
1140,480,1170,510,1918,1186,76.99321,28.44918,3600,0.8964,0.00175,0.00122,True
1140,540,1170,570,1918,1246,77.0177,28.44882,3600,0.9279,0.00288,0.00122,True
1140,600,1170,630,1918,1306,77.0422,28.44846,3600,0.9148,0.00132,0.00124,True
1140,660,1170,690,1918,1366,77.06669,28.44809,3600,0.9175,0.00206,0.00127,True
1140,720,1170,750,1918,1426,77.09119,28.44771,3600,0.8749,0.00106,0.00139,True
1140,780,1170,810,1918,1486,77.11568,28.44733,3600,0.7075,0.00522,0.00148,False
1140,840,1170,870,1918,1546,77.14018,28.44695,3600,0.7155,0.00201,0.00144,False
1140,900,1170,930,1918,1606,77.16467,28.44656,3600,0.6972,0.00043,0.00152,False
1140,960,1170,990,1918,1666,77.18917,28.44617,3600,0.7936,0.00057,0.00144,False
1140,1020,1170,1050,1918,1726,77.21366,28.44577,1117,0.8161,0.00113,0.00141,False
1200,0,1230,30,1978,706,76.79685,28.43026,839,0.5125,-0.00198,0.00164,False
1200,60,1230,90,1978,766,76.82135,28.42993,1345,0.5776,-0.00286,0.00155,False
1200,120,1230,150,1978,826,76.84584,28.4296,1817,0.6215,0.00112,0.00158,False
1200,180,1230,210,1978,886,76.87033,28.42927,2289,0.6511,0.00151,0.00157,False
1200,240,1230,270,1978,946,76.89483,28.42893,2760,0.4919,-0.00348,0.00153,False
1200,300,1230,330,1978,1006,76.91932,28.42859,3232,0.6561,0.00223,0.00147,False
1200,360,1230,390,1978,1066,76.94381,28.42824,3582,0.8023,0.00242,0.00139,False
1200,420,1230,450,1978,1126,76.96831,28.42789,3600,0.6563,0.0006,0.00142,False
1200,480,1230,510,1978,1186,76.9928,28.42753,3600,0.8875,0.00125,0.0013,True
1200,540,1230,570,1978,1246,77.01729,28.42717,3600,0.8969,0.00107,0.00129,True
1200,600,1230,630,1978,1306,77.04178,28.42681,3600,0.9099,0.00149,0.0013,True
1200,660,1230,690,1978,1366,77.06627,28.42644,3600,0.9206,0.00188,0.00131,True
1200,720,1230,750,1978,1426,77.09076,28.42606,3600,0.9146,0.00141,0.00137,True
1200,780,1230,810,1978,1486,77.11525,28.42568,3600,0.8118,0.00307,0.00143,False
1200,840,1230,870,1978,1546,77.13974,28.4253,3600,0.7137,0.00091,0.00149,False
1200,900,1230,930,1978,1606,77.16423,28.42491,3600,0.6653,0.00407,0.00158,False
1200,960,1230,990,1978,1666,77.18872,28.42452,3600,0.6825,0.00326,0.00154,False
1200,1020,1230,1050,1978,1726,77.21321,28.42413,484,0.7648,0.00105,0.0015,False
1260,420,1290,450,2038,1126,76.96791,28.40624,575,0.8133,0.00169,0.0014,False
1260,480,1290,510,2038,1186,76.99239,28.40588,1048,0.8863,0.0011,0.00135,True
1260,540,1290,570,2038,1246,77.01688,28.40552,1520,0.8201,0.00136,0.00136,False
1260,600,1290,630,2038,1306,77.04137,28.40516,1992,0.9026,0.0029,0.00132,True
1260,660,1290,690,2038,1366,77.06585,28.40479,2464,0.8726,0.00145,0.00138,True
1260,720,1290,750,2038,1426,77.09034,28.40441,2935,0.8348,0.00046,0.00144,False
1260,780,1290,810,2038,1486,77.11482,28.40403,3405,0.7727,0.00241,0.00154,False
1260,840,1290,870,2038,1546,77.13931,28.40365,3600,0.7563,0.00402,0.00162,False
1260,900,1290,930,2038,1606,77.16379,28.40326,3600,0.7194,0.00683,0.00162,False
1260,960,1290,990,2038,1666,77.18828,28.40287,3428,0.6943,0.0076,0.00166,False
1320,900,1332,930,2080,1606,77.16348,28.38811,751,0.7585,0.00772,0.00168,False
1320,960,1332,990,2080,1666,77.18796,28.38772,991,0.7755,0.00746,0.00176,False
