index,date12,reference_date,secondary_date,temporal_baseline_days,perpendicular_baseline_m,aoi_px,unwrap_valid_px,unwrap_valid_frac_aoi,coherence_valid_px,coherence_valid_frac_aoi,coherence_median,coherence_p25,coherence_mean,components_in_aoi,largest_component_frac_aoi,coherence_frac_gt_0.2,coherence_frac_gt_0.3,coherence_frac_gt_0.5
36,20220227_20220311,20220227,20220311,12,25.4,1226497,1203745,0.98145,1226497,1.0,0.7566,0.54,0.7022,1,0.979591,0.998288,0.939958,0.785549
37,20220227_20220323,20220227,20220323,24,103.0,1226497,1203795,0.98149,1226497,1.0,0.5598,0.3485,0.577,2,0.880334,0.996577,0.84348,0.560954
38,20220227_20220404,20220227,20220404,36,45.4,1226497,1203789,0.981485,1226497,1.0,0.4758,0.3136,0.5346,4,0.747833,0.995684,0.787751,0.476554
39,20220311_20220323,20220311,20220323,12,77.6,1226497,1203905,0.98158,1226497,1.0,0.7527,0.5313,0.6972,1,0.973808,0.998249,0.935295,0.777304
40,20220311_20220404,20220311,20220404,24,19.9,1226497,1203917,0.98159,1226497,1.0,0.622,0.3684,0.609,3,0.882638,0.996874,0.858344,0.613234
41,20220311_20220416,20220311,20220416,36,-4.5,1226497,1203921,0.981593,1226497,1.0,0.5283,0.3256,0.5595,4,0.80325,0.995922,0.81046,0.526036
42,20220323_20220404,20220323,20220404,12,-57.7,1226497,1203850,0.981535,1226497,1.0,0.7834,0.5405,0.7118,2,0.961114,0.998255,0.929886,0.780273
43,20220323_20220416,20220323,20220416,24,-82.1,1226497,1203816,0.981507,1226497,1.0,0.6455,0.3822,0.6204,1,0.890361,0.997125,0.867155,0.636323
44,20220323_20220428,20220323,20220428,36,-32.3,1226497,1203838,0.981525,1226497,1.0,0.5801,0.3402,0.5853,5,0.827073,0.996492,0.830581,0.571691
45,20220404_20220416,20220404,20220416,12,-24.4,1226497,1203764,0.981465,1226497,1.0,0.8571,0.6766,0.7804,3,0.983587,0.998898,0.961489,0.870123
46,20220404_20220428,20220404,20220428,24,25.3,1226497,1203853,0.981538,1226497,1.0,0.7719,0.5184,0.703,1,0.95427,0.998047,0.920937,0.763828
47,20220404_20220510,20220404,20220510,36,-31.7,1226497,1203820,0.981511,1226497,1.0,0.6482,0.3784,0.6222,4,0.87717,0.99704,0.863993,0.634625
48,20220416_20220428,20220416,20220428,12,49.8,1226497,1203792,0.981488,1226497,1.0,0.8752,0.7221,0.8028,4,0.986995,0.999053,0.96896,0.896929
49,20220416_20220510,20220416,20220510,24,-7.3,1226497,1203958,0.981623,1226497,1.0,0.7534,0.5088,0.693,1,0.957385,0.998029,0.921433,0.757194
50,20220416_20220522,20220416,20220522,36,-26.8,1226497,1203772,0.981472,1226497,1.0,0.6601,0.3978,0.6308,2,0.907783,0.997239,0.8767,0.652703
51,20220428_20220510,20220428,20220510,12,-57.1,1226497,1203951,0.981618,1226497,1.0,0.836,0.6455,0.763,3,0.98097,0.998752,0.955698,0.853983
52,20220428_20220522,20220428,20220522,24,-76.6,1226497,1203781,0.981479,1226497,1.0,0.7368,0.4818,0.6795,1,0.945092,0.997778,0.910694,0.734932
