index,date12,reference_date,secondary_date,temporal_baseline_days,perpendicular_baseline_m,aoi_px,unwrap_valid_px,unwrap_valid_frac_aoi,coherence_valid_px,coherence_valid_frac_aoi,coherence_median,coherence_p25,coherence_mean,components_in_aoi,largest_component_frac_aoi,coherence_frac_gt_0.2,coherence_frac_gt_0.3,coherence_frac_gt_0.5
155,20230622_20230716,20230622,20230716,24,180.4,1226497,1203831,0.98152,1226497,1.0,0.3417,0.2808,0.4343,9,0.480521,0.993022,0.657869,0.285887
156,20230622_20230728,20230622,20230728,36,193.7,1226497,1203818,0.981509,1226497,1.0,0.3223,0.274,0.3908,9,0.266162,0.992145,0.605976,0.203396
157,20230704_20230716,20230704,20230716,12,94.6,1226497,1203873,0.981554,1226497,1.0,0.4024,0.2979,0.492,7,0.678302,0.994542,0.742665,0.391236
158,20230704_20230728,20230704,20230728,24,107.9,1226497,1203888,0.981566,1226497,1.0,0.3383,0.28,0.4266,9,0.43475,0.993093,0.651759,0.27155
159,20230704_20230809,20230704,20230809,36,-178.0,1226497,1203820,0.981511,1226497,1.0,0.3505,0.2832,0.4518,6,0.506489,0.993627,0.67333,0.321892
160,20230716_20230728,20230716,20230728,12,13.3,1226497,1203880,0.98156,1226497,1.0,0.364,0.2888,0.4569,4,0.569785,0.994007,0.702833,0.325811
161,20230716_20230821,20230716,20230821,36,-139.6,1226497,1203821,0.981512,1226497,1.0,0.339,0.2801,0.4309,9,0.470401,0.993169,0.652816,0.278156
162,20230728_20230821,20230728,20230821,24,-152.9,1226497,1203797,0.981492,1226497,1.0,0.3288,0.277,0.4031,5,0.385149,0.992692,0.628933,0.225349
163,20230728_20230902,20230728,20230902,36,-50.6,1226497,1203783,0.981481,1226497,1.0,0.3315,0.2782,0.4132,5,0.370652,0.993165,0.637251,0.245471
164,20230809_20230821,20230809,20230821,12,133.0,1226497,1203799,0.981494,1226497,1.0,0.454,0.3092,0.5284,7,0.70957,0.995636,0.778092,0.456988
165,20230809_20230902,20230809,20230902,24,235.3,1226497,1203852,0.981537,1226497,1.0,0.3601,0.2866,0.4541,7,0.53823,0.993746,0.692395,0.32943
166,20230809_20230914,20230809,20230914,36,142.0,1226497,1203777,0.981476,1226497,1.0,0.368,0.2884,0.476,5,0.542172,0.994153,0.700817,0.360961
167,20230821_20230902,20230821,20230902,12,102.3,1226497,1203793,0.981489,1226497,1.0,0.4881,0.3213,0.5418,5,0.79385,0.995932,0.806141,0.488034
168,20230821_20230914,20230821,20230914,24,9.1,1226497,1203777,0.981476,1226497,1.0,0.4214,0.3003,0.5224,6,0.618593,0.995453,0.751045,0.432583
169,20230821_20230926,20230821,20230926,36,154.6,1226497,1203821,0.981512,1226497,1.0,0.3602,0.2865,0.4659,9,0.528247,0.994035,0.691405,0.342342
170,20230902_20230914,20230902,20230914,12,-93.3,1226497,1203736,0.981442,1226497,1.0,0.4863,0.3207,0.5455,7,0.794004,0.996019,0.804411,0.486619
171,20230902_20230926,20230902,20230926,24,52.3,1226497,1203774,0.981473,1226497,1.0,0.419,0.2995,0.5224,5,0.597085,0.995201,0.748209,0.431419
172,20230902_20231008,20230902,20231008,36,12.4,1226497,1203722,0.981431,1226497,1.0,0.4149,0.297,0.5245,8,0.590171,0.995255,0.739003,0.432836
173,20230914_20230926,20230914,20230926,12,145.5,1226497,1203867,0.981549,1226497,1.0,0.5513,0.3494,0.5732,2,0.893976,0.996556,0.845991,0.554406
174,20230914_20231008,20230914,20231008,24,105.7,1226497,1203673,0.981391,1226497,1.0,0.4147,0.2997,0.5092,8,0.626496,0.995168,0.748788,0.418083
175,20230914_20231020,20230914,20231020,36,169.9,1226497,1203704,0.981416,1226497,1.0,0.3696,0.289,0.4673,8,0.550747,0.994249,0.704539,0.351544
176,20230926_20231008,20230926,20231008,12,-39.9,1226497,1203873,0.981554,1226497,1.0,0.6011,0.3726,0.6074,1,0.921461,0.997073,0.867898,0.600238
177,20230926_20231020,20230926,20231020,24,24.3,1226497,1203905,0.98158,1226497,1.0,0.4548,0.3079,0.5341,7,0.688096,0.995499,0.774458,0.459708
178,20230926_20231101,20230926,20231101,36,-206.7,1226497,1203774,0.981473,1226497,1.0,0.3856,0.2923,0.4864,6,0.576263,0.994457,0.720249,0.38342
179,20231008_20231020,20231008,20231020,12,64.2,1226497,1203669,0.981388,1226497,1.0,0.7007,0.4646,0.6617,1,0.961248,0.997862,0.915033,0.715717
180,20231008_20231101,20231008,20231101,24,-166.9,1226497,1203722,0.981431,1226497,1.0,0.5303,0.331,0.5623,1,0.835148,0.996186,0.82076,0.529304
181,20231008_20231113,20231008,20231113,36,-67.9,1226497,1203779,0.981477,1226497,1.0,0.4426,0.3031,0.5277,5,0.671479,0.995441,0.760072,0.45157
182,20231020_20231101,20231020,20231101,12,-231.1,1226497,1203852,0.981537,1226497,1.0,0.7246,0.5154,0.6782,3,0.973286,0.997981,0.931536,0.76456
183,20231020_20231113,20231020,20231113,24,-132.1,1226497,1203976,0.981638,1226497,1.0,0.5724,0.3492,0.5833,1,0.867722,0.996532,0.843513,0.570478
184,20231101_20231113,20231101,20231113,12,99.0,1226497,1203803,0.981497,1226497,1.0,0.815,0.6483,0.7556,6,0.990555,0.998801,0.965905,0.870853
185,20231101_20231125,20231101,20231125,24,-46.1,1226497,1203735,0.981441,1226497,1.0,0.6792,0.397,0.6404,2,0.911537,0.997238,0.878235,0.656563
186,20231101_20231207,20231101,20231207,36,104.2,1226497,1203772,0.981472,1226497,1.0,0.5069,0.3165,0.5507,2,0.739738,0.995803,0.794237,0.505878
187,20231113_20231125,20231113,20231125,12,-145.1,1226497,1203814,0.981506,1226497,1.0,0.8479,0.6984,0.7861,4,0.993575,0.998983,0.973006,0.900829
188,20231113_20231207,20231113,20231207,24,5.2,1226497,1203743,0.981448,1226497,1.0,0.7036,0.4191,0.6567,1,0.930671,0.99772,0.890588,0.677807
189,20231113_20231219,20231113,20231219,36,-22.2,1226497,1203752,0.981455,1226497,1.0,0.5835,0.3296,0.5931,6,0.752811,0.996439,0.817706,0.560055
190,20231125_20231207,20231125,20231207,12,150.3,1226497,1203746,0.98145,1226497,1.0,0.8662,0.7317,0.8032,3,0.992079,0.998967,0.974515,0.913144
191,20231125_20231219,20231125,20231219,24,122.9,1226497,1203742,0.981447,1226497,1.0,0.7,0.4433,0.6575,2,0.950996,0.997675,0.903762,0.696732
192,20231125_20231231,20231125,20231231,36,205.4,1226497,1203797,0.981492,1226497,1.0,0.5682,0.3393,0.5776,3,0.8384,0.996069,0.83102,0.561769
193,20231207_20231219,20231207,20231219,12,-27.4,1226497,1203757,0.981459,1226497,1.0,0.8866,0.7634,0.8268,6,0.995478,0.999318,0.982072,0.933636
194,20231207_20231231,20231207,20231231,24,55.1,1226497,1203700,0.981413,1226497,1.0,0.7547,0.5083,0.696,1,0.973324,0.998225,0.929971,0.75727
195,20231207_20240112,20231207,20240112,36,-43.3,1226497,1203749,0.981453,1226497,1.0,0.7072,0.4117,0.657,1,0.924351,0.997577,0.886824,0.671566
196,20231219_20231231,20231219,20231231,12,82.5,1226497,1203773,0.981472,1226497,1.0,0.8901,0.7842,0.8356,7,0.996603,0.999323,0.984845,0.945862
197,20231219_20240112,20231219,20240112,24,-15.9,1226497,1203771,0.981471,1226497,1.0,0.8343,0.6358,0.7633,5,0.989143,0.998892,0.961609,0.856093
198,20231219_20240124,20231219,20240124,36,-0.9,1226497,1203751,0.981455,1226497,1.0,0.7488,0.4707,0.6863,1,0.962537,0.99793,0.914343,0.724384
199,20231231_20240112,20231231,20240112,12,-98.4,1226497,1203799,0.981494,1226497,1.0,0.9115,0.8176,0.8561,13,0.997095,0.999368,0.986594,0.953512
200,20231231_20240124,20231231,20240124,24,-83.4,1226497,1203847,0.981533,1226497,1.0,0.8298,0.642,0.7624,4,0.990359,0.998791,0.962981,0.861444
201,20231231_20240205,20231231,20240205,36,-80.5,1226497,1203776,0.981475,1226497,1.0,0.6326,0.3879,0.6184,1,0.924429,0.997151,0.874931,0.629646
202,20240112_20240124,20240112,20240124,12,15.0,1226497,1203676,0.981393,1226497,1.0,0.9285,0.8461,0.8766,9,0.997482,0.999534,0.989237,0.964465
203,20240112_20240205,20240112,20240205,24,17.9,1226497,1203733,0.98144,1226497,1.0,0.7531,0.5193,0.6978,5,0.974918,0.998138,0.931939,0.767023
204,20240112_20240217,20240112,20240217,36,86.7,1226497,1203795,0.98149,1226497,1.0,0.6559,0.3771,0.628,1,0.902654,0.996973,0.865075,0.630257
205,20240124_20240205,20240124,20240205,12,2.9,1226497,1203719,0.981428,1226497,1.0,0.8428,0.6762,0.7756,7,0.990851,0.998947,0.966154,0.878833
206,20240124_20240217,20240124,20240217,24,71.7,1226497,1203697,0.98141,1226497,1.0,0.7234,0.4496,0.6695,3,0.952206,0.997628,0.9031,0.705429
207,20240124_20240229,20240124,20240229,36,129.8,1226497,1203858,0.981542,1226497,1.0,0.5843,0.3447,0.5882,1,0.864152,0.996278,0.836639,0.574968
208,20240205_20240217,20240205,20240217,12,68.8,1226497,1203706,0.981418,1226497,1.0,0.7994,0.5982,0.7351,5,0.98672,0.998653,0.953011,0.830863
209,20240205_20240229,20240205,20240229,24,126.9,1226497,1203724,0.981432,1226497,1.0,0.6059,0.3748,0.5986,1,0.919521,0.996629,0.865105,0.609439
210,20240205_20240312,20240205,20240312,36,76.2,1226497,1203702,0.981415,1226497,1.0,0.5242,0.3266,0.5575,2,0.816658,0.995906,0.812754,0.522734
211,20240217_20240229,20240217,20240229,12,58.1,1226497,1203744,0.981449,1226497,1.0,0.795,0.5668,0.7252,3,0.982246,0.998423,0.942504,0.803519
212,20240217_20240312,20240217,20240312,24,7.4,1226497,1203699,0.981412,1226497,1.0,0.6653,0.3827,0.6316,1,0.909267,0.996991,0.867763,0.639265
213,20240217_20240324,20240217,20240324,36,-39.4,1226497,1203656,0.981377,1226497,1.0,0.5436,0.327,0.5689,3,0.804756,0.995951,0.813532,0.537149
214,20240229_20240312,20240229,20240312,12,-50.6,1226497,1203857,0.981541,1226497,1.0,0.802,0.5698,0.7279,3,0.973468,0.998318,0.939205,0.801748
215,20240229_20240324,20240229,20240324,24,-97.4,1226497,1203824,0.981514,1226497,1.0,0.6069,0.3644,0.5981,3,0.885287,0.996659,0.855841,0.603264
216,20240229_20240405,20240229,20240405,36,-39.9,1226497,1203844,0.98153,1226497,1.0,0.543,0.3289,0.5668,4,0.811563,0.99615,0.816248,0.538347
217,20240312_20240324,20240312,20240324,12,-46.8,1226497,1203798,0.981493,1226497,1.0,0.7779,0.5565,0.7137,3,0.976694,0.998337,0.940349,0.795905
218,20240312_20240405,20240312,20240405,24,10.8,1226497,1203835,0.981523,1226497,1.0,0.6541,0.3867,0.6256,2,0.897554,0.997103,0.870892,0.641152
219,20240312_20240417,20240312,20240417,36,-46.7,1226497,1203731,0.981438,1226497,1.0,0.6,0.3485,0.5955,5,0.841777,0.996492,0.839642,0.588764
220,20240324_20240405,20240324,20240405,12,57.6,1226497,1203901,0.981577,1226497,1.0,0.776,0.5373,0.7079,1,0.964558,0.99828,0.931423,0.778723
221,20240324_20240417,20240324,20240417,24,0.1,1226497,1203822,0.981512,1226497,1.0,0.6977,0.4118,0.6491,1,0.901858,0.997381,0.882079,0.67617
222,20240324_20240429,20240324,20240429,36,29.5,1226497,1203825,0.981515,1226497,1.0,0.619,0.3568,0.6041,1,0.854945,0.99645,0.847115,0.605118
223,20240405_20240417,20240405,20240417,12,-57.5,1226497,1203854,0.981538,1226497,1.0,0.8251,0.6075,0.7458,1,0.972529,0.998622,0.945114,0.823956
224,20240405_20240429,20240405,20240429,24,-28.1,1226497,1203854,0.981538,1226497,1.0,0.7252,0.4595,0.6686,2,0.928335,0.997583,0.901642,0.717357
225,20240405_20240511,20240405,20240511,36,-84.8,1226497,1203869,0.981551,1226497,1.0,0.5957,0.3551,0.5912,5,0.857604,0.996532,0.846015,0.592824
226,20240417_20240429,20240417,20240429,12,29.4,1226497,1203761,0.981463,1226497,1.0,0.878,0.7374,0.8103,2,0.991186,0.999044,0.973607,0.911732
227,20240417_20240511,20240417,20240511,24,-27.3,1226497,1203802,0.981496,1226497,1.0,0.7564,0.5271,0.6964,1,0.964145,0.998099,0.928269,0.772135
228,20240417_20240523,20240417,20240523,36,-155.6,1226497,1203887,0.981565,1226497,1.0,0.571,0.359,0.5757,1,0.892705,0.996358,0.851288,0.579417
229,20240429_20240511,20240429,20240511,12,-56.7,1226497,1203842,0.981529,1226497,1.0,0.8611,0.701,0.7911,1,0.987945,0.998901,0.967577,0.89111
230,20240429_20240523,20240429,20240523,24,-185.0,1226497,1203861,0.981544,1226497,1.0,0.6659,0.4323,0.6349,2,0.937493,0.997088,0.895793,0.683042
231,20240429_20240604,20240429,20240604,36,-179.8,1226497,1203836,0.981524,1226497,1.0,0.6411,0.3967,0.6171,2,0.908118,0.996585,0.87347,0.648896
232,20240511_20240523,20240511,20240523,12,-128.3,1226497,1203870,0.981552,1226497,1.0,0.8198,0.6307,0.7528,1,0.983405,0.998572,0.956805,0.850383
233,20240511_20240604,20240511,20240604,24,-123.1,1226497,1203836,0.981524,1226497,1.0,0.7649,0.5326,0.7015,2,0.959313,0.997879,0.926398,0.775874
234,20240511_20240616,20240511,20240616,36,-49.5,1226497,1203715,0.981425,1226497,1.0,0.7155,0.4565,0.6632,2,0.929819,0.997593,0.901707,0.713864
235,20240523_20240604,20240523,20240604,12,5.1,1226497,1203880,0.98156,1226497,1.0,0.8664,0.7077,0.7954,1,0.988486,0.999088,0.97002,0.893835
236,20240523_20240616,20240523,20240616,24,78.8,1226497,1203911,0.981585,1226497,1.0,0.7449,0.5113,0.6883,1,0.957824,0.998008,0.925923,0.759613
237,20240604_20240616,20240604,20240616,12,73.6,1226497,1203959,0.981624,1226497,1.0,0.8631,0.6931,0.789,1,0.986197,0.998853,0.965278,0.880668
238,20240604_20240710,20240604,20240710,36,-29.5,1226497,1203785,0.981482,1226497,1.0,0.3877,0.2917,0.4905,7,0.590328,0.994332,0.718089,0.390857
239,20240616_20240710,20240616,20240710,24,-103.2,1226497,1203703,0.981415,1226497,1.0,0.3685,0.2881,0.4644,7,0.560059,0.994012,0.700237,0.349193
240,20240616_20240722,20240616,20240722,36,-105.6,1226497,1203947,0.981614,1226497,1.0,0.3497,0.2828,0.4454,8,0.517537,0.99337,0.671458,0.314932
241,20240710_20240722,20240710,20240722,12,-2.4,1226497,1203760,0.981462,1226497,1.0,0.5486,0.334,0.5769,4,0.824326,0.996385,0.825291,0.543295
242,20240710_20240803,20240710,20240803,24,126.7,1226497,1203794,0.98149,1226497,1.0,0.3827,0.2915,0.4875,4,0.567776,0.994477,0.716355,0.382642
243,20240710_20240815,20240710,20240815,36,108.1,1226497,1203863,0.981546,1226497,1.0,0.3564,0.285,0.4626,9,0.514843,0.993769,0.683715,0.337427
244,20240722_20240803,20240722,20240803,12,129.1,1226497,1203840,0.981527,1226497,1.0,0.4249,0.302,0.5138,8,0.649419,0.995106,0.756816,0.428423
245,20240722_20240815,20240722,20240815,24,110.5,1226497,1203863,0.981546,1226497,1.0,0.3714,0.2889,0.4839,8,0.543995,0.994228,0.70384,0.370986
246,20240803_20240815,20240803,20240815,12,-18.6,1226497,1203785,0.981482,1226497,1.0,0.4658,0.3127,0.5405,5,0.766791,0.995728,0.786879,0.467942
247,20240803_20240827,20240803,20240827,24,126.8,1226497,1203790,0.981486,1226497,1.0,0.3781,0.2905,0.4924,7,0.55072,0.994519,0.711296,0.383414
248,20240803_20240908,20240803,20240908,36,106.7,1226497,1203950,0.981617,1226497,1.0,0.3732,0.2888,0.4924,8,0.542204,0.994342,0.703601,0.383042
249,20240815_20240827,20240815,20240827,12,145.4,1226497,1203868,0.98155,1226497,1.0,0.4019,0.298,0.4995,5,0.641861,0.994871,0.742425,0.400339
250,20240815_20240908,20240815,20240908,24,125.3,1226497,1203821,0.981512,1226497,1.0,0.3738,0.2897,0.4891,6,0.537757,0.994238,0.707729,0.376434
251,20240815_20240920,20240815,20240920,36,68.4,1226497,1203879,0.981559,1226497,1.0,0.3702,0.2887,0.4882,8,0.537865,0.994318,0.702372,0.372909
252,20240827_20240908,20240827,20240908,12,-20.1,1226497,1203830,0.981519,1226497,1.0,0.4639,0.3081,0.552,5,0.683709,0.995672,0.775432,0.472602
253,20240827_20240920,20240827,20240920,24,-77.0,1226497,1203867,0.981549,1226497,1.0,0.3935,0.2937,0.5113,8,0.563334,0.994936,0.725389,0.409772
254,20240827_20241002,20240827,20241002,36,-145.4,1226497,1203787,0.981484,1226497,1.0,0.3565,0.2851,0.4668,8,0.514551,0.994082,0.683316,0.344903
255,20240908_20240920,20240908,20240920,12,-56.9,1226497,1203812,0.981504,1226497,1.0,0.5042,0.3227,0.5616,5,0.797459,0.996249,0.808618,0.503754
256,20240908_20241002,20240908,20241002,24,-125.3,1226497,1203750,0.981454,1226497,1.0,0.378,0.2906,0.4911,7,0.550302,0.994519,0.712069,0.384212
257,20240908_20241014,20240908,20241014,36,-4.7,1226497,1203807,0.9815,1226497,1.0,0.3693,0.2879,0.4845,7,0.539308,0.994338,0.699142,0.37422
258,20240920_20241002,20240920,20241002,12,-68.4,1226497,1203834,0.981522,1226497,1.0,0.4668,0.312,0.542,5,0.724377,0.995847,0.785289,0.471077
259,20240920_20241014,20240920,20241014,24,52.3,1226497,1203816,0.981507,1226497,1.0,0.4025,0.2955,0.5096,6,0.593588,0.994866,0.733345,0.41564
260,20240920_20241026,20240920,20241026,36,-49.5,1226497,1203723,0.981432,1226497,1.0,0.3941,0.2929,0.511,8,0.561701,0.994668,0.722011,0.413716
261,20241002_20241014,20241002,20241014,12,120.7,1226497,1203884,0.981563,1226497,1.0,0.5506,0.3482,0.5708,1,0.88799,0.996487,0.844598,0.553108
262,20241002_20241026,20241002,20241026,24,18.9,1226497,1203696,0.98141,1226497,1.0,0.4432,0.304,0.5275,5,0.648059,0.995429,0.7631,0.451156
263,20241002_20241107,20241002,20241107,36,87.3,1226497,1203892,0.981569,1226497,1.0,0.4007,0.2945,0.5023,8,0.596349,0.994876,0.729788,0.410373
264,20241014_20241026,20241014,20241026,12,-101.8,1226497,1203723,0.981432,1226497,1.0,0.714,0.4613,0.6664,2,0.953698,0.997792,0.911043,0.715245
265,20241014_20241107,20241014,20241107,24,-33.4,1226497,1203866,0.981548,1226497,1.0,0.5828,0.3376,0.5934,3,0.818925,0.996476,0.82926,0.567289
266,20241014_20241119,20241014,20241119,36,-39.5,1226497,1203894,0.981571,1226497,1.0,0.4853,0.3082,0.5517,8,0.663469,0.995578,0.774333,0.489047
267,20241026_20241107,20241026,20241107,12,68.4,1226497,1203689,0.981404,1226497,1.0,0.7948,0.5716,0.7267,3,0.977192,0.998519,0.944217,0.806987
268,20241026_20241119,20241026,20241119,24,62.3,1226497,1203689,0.981404,1226497,1.0,0.6119,0.35,0.6055,2,0.849913,0.99672,0.843073,0.592052
269,20241107_20241119,20241107,20241119,12,-6.1,1226497,1203947,0.981614,1226497,1.0,0.8403,0.6538,0.7696,7,0.98804,0.998912,0.963142,0.866089
270,20241107_20241213,20241107,20241213,36,-33.0,1226497,1203730,0.981437,1226497,1.0,0.5463,0.3199,0.5771,5,0.741186,0.996241,0.801288,0.53295
271,20241119_20241213,20241119,20241213,24,-26.9,1226497,1203703,0.981415,1226497,1.0,0.6947,0.4094,0.6539,1,0.92473,0.99749,0.885869,0.666695
272,20241119_20241225,20241119,20241225,36,-141.2,1226497,1203787,0.981484,1226497,1.0,0.5592,0.3298,0.5788,4,0.795604,0.996194,0.818485,0.548056
273,20241213_20241225,20241213,20241225,12,-114.3,1226497,1203667,0.981386,1226497,1.0,0.8508,0.7176,0.7937,7,0.994626,0.999053,0.976897,0.91333
274,20241213_20250106,20241213,20250106,24,-17.8,1226497,1203756,0.981459,1226497,1.0,0.6298,0.3763,0.619,1,0.907177,0.997151,0.868048,0.617889
275,20241213_20250118,20241213,20250118,36,-76.9,1226497,1203704,0.981416,1226497,1.0,0.5437,0.3306,0.574,4,0.815202,0.996245,0.819942,0.537382
276,20241225_20250106,20241225,20250106,12,96.5,1226497,1203686,0.981402,1226497,1.0,0.7878,0.591,0.7273,10,0.980726,0.998541,0.951701,0.825612
277,20241225_20250118,20241225,20250118,24,37.4,1226497,1203684,0.9814,1226497,1.0,0.7072,0.4509,0.6659,2,0.955221,0.99779,0.909845,0.703336
278,20241225_20250130,20241225,20250130,36,63.9,1226497,1203840,0.981527,1226497,1.0,0.5911,0.3426,0.5986,3,0.84272,0.996587,0.836401,0.572305
279,20250106_20250118,20250106,20250118,12,-59.1,1226497,1203677,0.981394,1226497,1.0,0.897,0.7917,0.8398,10,0.995093,0.999345,0.984107,0.944763
280,20250106_20250130,20250106,20250130,24,-32.6,1226497,1203688,0.981403,1226497,1.0,0.7253,0.4939,0.6802,3,0.971419,0.998044,0.926105,0.744215
281,20250106_20250211,20250106,20250211,36,17.5,1226497,1203794,0.98149,1226497,1.0,0.5979,0.3572,0.6026,1,0.891343,0.996726,0.851307,0.587463
282,20250118_20250130,20250118,20250130,12,26.5,1226497,1203682,0.981398,1226497,1.0,0.8634,0.7207,0.8006,5,0.994445,0.999221,0.976647,0.911494
283,20250118_20250211,20250118,20250211,24,76.5,1226497,1203777,0.981476,1226497,1.0,0.6796,0.4355,0.6469,3,0.953625,0.997552,0.900914,0.686058
284,20250118_20250223,20250118,20250223,36,78.7,1226497,1203673,0.981391,1226497,1.0,0.5568,0.3368,0.5768,1,0.856147,0.996187,0.827643,0.550638
285,20250130_20250211,20250130,20250211,12,50.1,1226497,1203757,0.981459,1226497,1.0,0.8304,0.6306,0.7575,5,0.987685,0.998709,0.95763,0.84879
286,20250130_20250223,20250130,20250223,24,52.2,1226497,1203851,0.981536,1226497,1.0,0.692,0.417,0.65,1,0.935793,0.997273,0.888389,0.674005
287,20250130_20250307,20250130,20250307,36,120.7,1226497,1203728,0.981436,1226497,1.0,0.5336,0.3257,0.564,5,0.794279,0.995954,0.810819,0.529506
288,20250211_20250223,20250211,20250223,12,2.1,1226497,1203802,0.981496,1226497,1.0,0.8169,0.5874,0.7409,3,0.984361,0.99857,0.948288,0.817279
289,20250211_20250307,20250211,20250307,24,70.7,1226497,1203796,0.981491,1226497,1.0,0.6386,0.3695,0.6185,3,0.890603,0.996872,0.859512,0.619903
290,20250211_20250319,20250211,20250319,36,72.2,1226497,1203761,0.981463,1226497,1.0,0.5442,0.3266,0.5712,1,0.803241,0.996082,0.813084,0.537081
291,20250223_20250307,20250223,20250307,12,68.5,1226497,1203919,0.981591,1226497,1.0,0.7681,0.5259,0.7044,1,0.975172,0.998064,0.930889,0.771501
292,20250223_20250319,20250223,20250319,24,70.0,1226497,1203893,0.98157,1226497,1.0,0.635,0.3751,0.6184,1,0.898605,0.996851,0.864606,0.621488
293,20250223_20250331,20250223,20250331,36,107.6,1226497,1203813,0.981505,1226497,1.0,0.5224,0.3234,0.5583,2,0.808256,0.995856,0.807688,0.52009
294,20250307_20250319,20250307,20250319,12,1.5,1226497,1203830,0.981519,1226497,1.0,0.7925,0.5472,0.7194,2,0.969746,0.998298,0.93301,0.785967
295,20250307_20250331,20250307,20250331,24,39.0,1226497,1203949,0.981616,1226497,1.0,0.659,0.3781,0.6284,1,0.887011,0.997022,0.863668,0.636099
296,20250307_20250412,20250307,20250412,36,-184.5,1226497,1203889,0.981567,1226497,1.0,0.4775,0.3153,0.527,4,0.790201,0.995185,0.791182,0.476688
297,20250319_20250331,20250319,20250331,12,37.5,1226497,1203701,0.981414,1226497,1.0,0.7831,0.5362,0.7112,3,0.962706,0.998327,0.929065,0.776862
298,20250319_20250412,20250319,20250412,24,-186.0,1226497,1203716,0.981426,1226497,1.0,0.5613,0.347,0.5706,1,0.8666,0.996221,0.839188,0.564295
299,20250319_20250424,20250319,20250424,36,-99.0,1226497,1203704,0.981416,1226497,1.0,0.5701,0.3388,0.5799,1,0.831537,0.996179,0.829189,0.564001
300,20250331_20250412,20250331,20250412,12,-223.4,1226497,1203726,0.981434,1226497,1.0,0.6695,0.4412,0.6363,1,0.945179,0.997184,0.899766,0.691773
301,20250331_20250424,20250331,20250424,24,-136.4,1226497,1203714,0.981424,1226497,1.0,0.6742,0.4112,0.6362,1,0.912009,0.996947,0.882167,0.669681
302,20250331_20250506,20250331,20250506,36,-168.3,1226497,1203812,0.981504,1226497,1.0,0.4242,0.301,0.4982,6,0.691956,0.994417,0.753288,0.420334
303,20250412_20250424,20250412,20250424,12,87.0,1226497,1203788,0.981485,1226497,1.0,0.8315,0.6601,0.7665,6,0.98679,0.998698,0.963838,0.872545
304,20250412_20250506,20250412,20250506,24,55.1,1226497,1203740,0.981446,1226497,1.0,0.6067,0.3771,0.6017,1,0.917563,0.996861,0.866042,0.612146
305,20250424_20250506,20250424,20250506,12,-31.9,1226497,1203663,0.981383,1226497,1.0,0.695,0.4569,0.6548,5,0.952906,0.997552,0.906149,0.709309
306,20250424_20250530,20250424,20250530,36,-120.7,1226497,1203740,0.981446,1226497,1.0,0.3893,0.2921,0.4836,5,0.624287,0.993989,0.719828,0.38568
307,20250506_20250530,20250506,20250530,24,-88.8,1226497,1203694,0.981408,1226497,1.0,0.4679,0.3086,0.5352,3,0.728361,0.995315,0.775662,0.471423
308,20250506_20250611,20250506,20250611,36,-129.1,1226497,1203666,0.981385,1226497,1.0,0.4003,0.2947,0.4938,7,0.591526,0.994628,0.729982,0.402724
309,20250530_20250611,20250530,20250611,12,-40.4,1226497,1203697,0.98141,1226497,1.0,0.6431,0.4022,0.6237,1,0.925573,0.997401,0.88407,0.648218
310,20250530_20250623,20250530,20250623,24,-5.4,1226497,1203855,0.981539,1226497,1.0,0.4299,0.3029,0.5155,7,0.652773,0.995232,0.759593,0.434792
311,20250530_20250705,20250530,20250705,36,0.4,1226497,1203772,0.981472,1226497,1.0,0.4075,0.2964,0.5073,8,0.600088,0.994893,0.737222,0.41599
312,20250611_20250623,20250611,20250623,12,35.0,1226497,1203809,0.981502,1226497,1.0,0.5231,0.3327,0.5597,2,0.825259,0.996634,0.825636,0.523006
313,20250611_20250705,20250611,20250705,24,40.7,1226497,1203704,0.981416,1226497,1.0,0.4278,0.3009,0.5183,7,0.63063,0.995318,0.753242,0.43644
314,20250611_20250717,20250611,20250717,36,83.5,1226497,1203786,0.981483,1226497,1.0,0.381,0.2905,0.491,6,0.553926,0.994378,0.711876,0.388342
315,20250623_20250705,20250623,20250705,12,5.7,1226497,1203808,0.981501,1226497,1.0,0.5075,0.3281,0.5519,1,0.820833,0.996331,0.818245,0.50761
316,20250623_20250717,20250623,20250717,24,48.5,1226497,1203808,0.981501,1226497,1.0,0.3771,0.2906,0.4839,7,0.558022,0.994542,0.711979,0.374909
317,20250623_20250729,20250623,20250729,36,58.1,1226497,1203824,0.981514,1226497,1.0,0.3587,0.2861,0.4648,9,0.513574,0.994101,0.688795,0.342097
318,20250705_20250717,20250705,20250717,12,42.8,1226497,1203830,0.981519,1226497,1.0,0.4601,0.3079,0.5369,4,0.710067,0.995521,0.774021,0.466059
319,20250705_20250729,20250705,20250729,24,52.3,1226497,1203817,0.981508,1226497,1.0,0.3953,0.2937,0.5042,9,0.572473,0.994778,0.725707,0.407744
320,20250705_20250810,20250705,20250810,36,71.1,1226497,1203832,0.981521,1226497,1.0,0.3726,0.2888,0.4847,8,0.543714,0.994324,0.703705,0.375636
321,20250717_20250729,20250717,20250729,12,9.5,1226497,1203853,0.981538,1226497,1.0,0.5295,0.3297,0.5704,2,0.830332,0.996205,0.81932,0.526733
322,20250717_20250810,20250717,20250810,24,28.3,1226497,1203811,0.981503,1226497,1.0,0.4085,0.2952,0.5198,7,0.599684,0.994748,0.732455,0.427947
