network,pairs,components,isolated_nodes,bridges,articulation_points,degree_min,degree_mean,degree_median,degree_max,max_gap_days,accepted
full_336,336,1,0,0,0,3,5.6471,6.0,6,24,True
curated,297,1,0,1,2,1,4.9916,5.0,6,24,False
