hotspot_id,date,los_displacement_mm,los_interquartile_halfwidth_mm
H002,20230716,-6.008,10.494
H002,20230728,-7.134,12.322
H002,20230809,-29.439,8.669
H002,20230821,-24.82,7.169
H002,20230902,-60.721,6.413
H002,20230914,-63.84,7.213
H002,20230926,-65.632,9.064
H002,20231008,-66.602,7.016
H002,20231020,-56.422,6.006
H002,20231101,-67.068,5.953
H002,20231113,-50.842,6.537
H002,20231125,-67.334,6.789
H002,20231207,-50.216,7.313
H002,20231219,-60.476,6.632
H002,20231231,-58.982,6.94
H002,20240112,-52.081,6.403
H002,20240124,-58.933,7.201
H002,20240205,-79.722,6.837
H002,20240217,-60.73,6.576
H002,20240229,-65.038,6.069
H002,20240312,-65.728,6.291
H002,20240324,-37.068,6.743
H002,20240405,-75.732,8.901
H002,20240417,-66.299,6.203
H002,20240429,-48.738,6.342
H002,20240511,-64.435,8.794
H002,20240523,-62.398,6.533
H002,20240604,-52.046,6.097
H002,20240616,-33.663,6.463
H002,20240710,-11.39,6.307
H002,20240722,-36.528,7.33
H002,20240803,-55.771,6.894
H002,20240815,-32.578,6.252
H002,20240827,-53.034,6.629
H002,20240908,-62.724,6.567
H002,20240920,-57.954,7.463
H002,20241002,-49.425,6.32
H002,20241014,-74.363,8.189
H002,20241026,-64.078,7.726
H002,20241107,-80.759,7.447
H002,20241119,-68.927,7.582
H002,20241213,-57.287,7.49
H002,20241225,-56.347,8.338
H002,20250106,-70.82,7.801
H002,20250118,-36.89,6.945
H002,20250130,-69.336,8.023
H002,20250211,-61.09,6.831
H002,20250223,-70.642,7.14
H002,20250307,-87.992,7.927
H002,20250319,-65.405,6.867
H002,20250331,-63.407,6.803
H002,20250412,-60.473,6.623
H002,20250424,-69.929,7.756
H002,20250506,-48.563,7.078
H002,20250530,-12.719,6.616
H002,20250611,-60.433,9.131
H002,20250623,-46.302,7.456
H002,20250705,-64.103,8.443
H002,20250717,-49.957,7.17
H002,20250729,-58.593,7.817
H002,20250810,-68.883,7.414
H002,20250822,-54.428,6.91
H002,20250903,-77.381,7.93
H002,20250915,-61.238,7.248
H002,20250927,-47.981,8.584
H003,20211006,0.0,0.0
H003,20211018,-4.785,1.835
H003,20211030,-16.143,1.681
H003,20211111,-18.52,1.309
H003,20211123,-22.04,1.741
